Area;Localidades;Familias;Populacao
Area Rural-1;Cana Verde;26;76
Area Rural-1;Gleba Bacajai;15;44
Area Rural-1;Gleba Itata;38;93
Area Rural-1;Igarape Bacajai;18;46
Area Rural-1;Igarape Itata;5;9
Area Rural-1;Ituna;13;35
Area Rural-1;Kaituka;9;31
Area Rural-1;Paquicamba;1;7
Area Rural-1;Pirarara;31;85
Area Rural-2;Caracol;16;55
Area Rural-2;Gleba Bacaja;17;58
Area Rural-2;Goianinho;4;18
Area Rural-2;Ilha Da Baleia;15;54
Area Rural-2;Jericoa;28;91
Area Rural-2;Maranhenses;14;48
Area Rural-2;Nova Conquista;30;80
Area Rural-2;Ramal Do Juliao;1;2
Area Rural-2;Rio Bacaja;20;87
Area Rural-2;Rio Das Pedras;39;131
Area Rural-2;Surubim Novo Progresso;14;46
Area Rural-2;Terra Preta;15;51
Area Urbana-1;Garimpo Do Galo;63;139
Area Urbana-1;Ilha Da Fazenda;75;253
Area Urbana-1;Ressaca;158;455
Area Urbana-2;Belo Monte Do Pontal-Anapu;237;843
Area Urbana-2;Belo Monte Ii-Vitoria Do Xingu;215;693
Area Urbana-2;Vila Do 7,5;7;22
Area Urbana-2;Vila Isabel;157;587
