ID;Ano;Extrato_Ano;Variavel_Ano;Niveis_Ano;Percentual_Ano
1;2012;Area Rural-1;Padrao Construtivo;Madeira;80
2;2013;Area Rural-1;Padrao Construtivo;Madeira;88.2
3;2014;Area Rural-1;Padrao Construtivo;Madeira;87.5
4;2015;Area Rural-1;Padrao Construtivo;Madeira;88.8
5;2016;Area Rural-1;Padrao Construtivo;Madeira;90
6;2017;Area Rural-1;Padrao Construtivo;Madeira;91.5
7;2018;Area Rural-1;Padrao Construtivo;Madeira;87.8
8;2019;Area Rural-1;Padrao Construtivo;Madeira;93.8
9;2020;Area Rural-1;Padrao Construtivo;Madeira;94.6
10;2012;Area Rural-1;Padrao Construtivo;Tijolo;10
11;2013;Area Rural-1;Padrao Construtivo;Tijolo;5.4
12;2014;Area Rural-1;Padrao Construtivo;Tijolo;4.5
13;2015;Area Rural-1;Padrao Construtivo;Tijolo;7.5
14;2016;Area Rural-1;Padrao Construtivo;Tijolo;5
15;2017;Area Rural-1;Padrao Construtivo;Tijolo;2.8
16;2018;Area Rural-1;Padrao Construtivo;Tijolo;7.3
17;2019;Area Rural-1;Padrao Construtivo;Tijolo;2.5
18;2020;Area Rural-1;Padrao Construtivo;Tijolo;2.7
19;2012;Area Rural-1;Padrao Construtivo;Adobe;10
20;2013;Area Rural-1;Padrao Construtivo;Adobe;5.4
21;2014;Area Rural-1;Padrao Construtivo;Adobe;4.5
22;2015;Area Rural-1;Padrao Construtivo;Adobe;7.5
23;2016;Area Rural-1;Padrao Construtivo;Adobe;2.5
24;2017;Area Rural-1;Padrao Construtivo;Adobe;0
25;2018;Area Rural-1;Padrao Construtivo;Adobe;0
26;2019;Area Rural-1;Padrao Construtivo;Adobe;1.2
27;2020;Area Rural-1;Padrao Construtivo;Adobe;0
28;2012;Area Rural-1;Padrao Construtivo;Taipa;5
29;2013;Area Rural-1;Padrao Construtivo;Taipa;7.5
30;2014;Area Rural-1;Padrao Construtivo;Taipa;8
31;2015;Area Rural-1;Padrao Construtivo;Taipa;6.2
32;2016;Area Rural-1;Padrao Construtivo;Taipa;3.8
33;2017;Area Rural-1;Padrao Construtivo;Taipa;1.4
34;2018;Area Rural-1;Padrao Construtivo;Taipa;1.2
35;2019;Area Rural-1;Padrao Construtivo;Taipa;1.2
36;2020;Area Rural-1;Padrao Construtivo;Taipa;0
37;2012;Area Rural-1;Padrao Construtivo;Outro;5
38;2013;Area Rural-1;Padrao Construtivo;Outro;1.1
39;2014;Area Rural-1;Padrao Construtivo;Outro;1.1
40;2015;Area Rural-1;Padrao Construtivo;Outro;0
41;2016;Area Rural-1;Padrao Construtivo;Outro;2.5
42;2017;Area Rural-1;Padrao Construtivo;Outro;4.2
43;2018;Area Rural-1;Padrao Construtivo;Outro;4.9
44;2019;Area Rural-1;Padrao Construtivo;Outro;0
45;2020;Area Rural-1;Padrao Construtivo;Outro;2.7
46;2012;Area Rural-2;Padrao Construtivo;Madeira;78.3
