ID;Campanha;Extrato_Campanha;Variavel_Campanha;Niveis_Campanha;Percentual_Campanha
1;Seca 2012;Area Rural-1;Formas do Abastecimento de Agua;Poco;65
2;Seca 2012;Area Rural-1;Formas do Abastecimento de Agua;Rio;20
3;Seca 2012;Area Rural-1;Formas do Abastecimento de Agua;Nascente;10
4;Seca 2012;Area Rural-1;Formas do Abastecimento de Agua;Rede Geral;0
5;Seca 2012;Area Rural-1;Formas do Abastecimento de Agua;Igarape;5
6;Seca 2012;Area Rural-1;Formas do Abastecimento de Agua;Outros;0
7;Cheia 2013;Area Rural-1;Formas do Abastecimento de Agua;Poco;64.7
8;Cheia 2013;Area Rural-1;Formas do Abastecimento de Agua;Rio;23.5
9;Cheia 2013;Area Rural-1;Formas do Abastecimento de Agua;Nascente;11.8
10;Cheia 2013;Area Rural-1;Formas do Abastecimento de Agua;Rede Geral;0
11;Cheia 2013;Area Rural-1;Formas do Abastecimento de Agua;Igarape;0
12;Cheia 2013;Area Rural-1;Formas do Abastecimento de Agua;Outros;0
13;Seca 2013;Area Rural-1;Formas do Abastecimento de Agua;Poco;45.2
14;Seca 2013;Area Rural-1;Formas do Abastecimento de Agua;Rio;28.6
15;Seca 2013;Area Rural-1;Formas do Abastecimento de Agua;Nascente;4.8
16;Seca 2013;Area Rural-1;Formas do Abastecimento de Agua;Rede Geral;4.8
17;Seca 2013;Area Rural-1;Formas do Abastecimento de Agua;Igarape;16.7
18;Seca 2013;Area Rural-1;Formas do Abastecimento de Agua;Outros;0
19;Cheia 2014;Area Rural-1;Formas do Abastecimento de Agua;Poco;61.2
20;Cheia 2014;Area Rural-1;Formas do Abastecimento de Agua;Rio;22.4
21;Cheia 2014;Area Rural-1;Formas do Abastecimento de Agua;Nascente;2
22;Cheia 2014;Area Rural-1;Formas do Abastecimento de Agua;Rede Geral;0
23;Cheia 2014;Area Rural-1;Formas do Abastecimento de Agua;Igarape;14.3
24;Cheia 2014;Area Rural-1;Formas do Abastecimento de Agua;Outros;0
25;Seca 2014;Area Rural-1;Formas do Abastecimento de Agua;Poco;59
26;Seca 2014;Area Rural-1;Formas do Abastecimento de Agua;Rio;25.6
27;Seca 2014;Area Rural-1;Formas do Abastecimento de Agua;Nascente;5.1
28;Seca 2014;Area Rural-1;Formas do Abastecimento de Agua;Rede Geral;2.6
29;Seca 2014;Area Rural-1;Formas do Abastecimento de Agua;Igarape;7.7
30;Seca 2014;Area Rural-1;Formas do Abastecimento de Agua;Outros;0
31;Cheia 2015;Area Rural-1;Formas do Abastecimento de Agua;Poco;73.8
32;Cheia 2015;Area Rural-1;Formas do Abastecimento de Agua;Rio;19
33;Cheia 2015;Area Rural-1;Formas do Abastecimento de Agua;Nascente;4.8
34;Cheia 2015;Area Rural-1;Formas do Abastecimento de Agua;Rede Geral;2.4
35;Cheia 2015;Area Rural-1;Formas do Abastecimento de Agua;Igarape;0
36;Cheia 2015;Area Rural-1;Formas do Abastecimento de Agua;Outros;0
37;Seca 2015;Area Rural-1;Formas do Abastecimento de Agua;Poco;55.3
38;Seca 2015;Area Rural-1;Formas do Abastecimento de Agua;Rio;34.2
39;Seca 2015;Area Rural-1;Formas do Abastecimento de Agua;Nascente;7.9
40;Seca 2015;Area Rural-1;Formas do Abastecimento de Agua;Rede Geral;0
